Estado,SKU,Nome,PV,Preço Consumidor,25%,35%,42%,50%,Origem_Aba
PI,18,0773 Máscara Purificante de Argila 120ml,"13,80","185,00","108,35","100,56","95,10","88,87",PI
PI,44,0768 Sérum Facial Redutor de linhas 30ml,"30,90","397,00","231,60","214,58","202,67","189,05",PI
PI,12,0408 Sabonete Líquido para as mãos Soft Green Chá Verde,"7,20","71,00","51,28","47,88","45,51","42,79",PI
PI,94,0563 Desodorante Soft Green Chá Verde,"2,70","30,00","18,46","17,31","16,51","15,59",PI
SP,a,534K Protein Ice Cream (Gelato Proteico) Sabor Chocolate,"59,80","473,00","359,62","319,13","290,78","258,38",SP (1)
SP,32,535K Protein Ice Cream (Gelato Proteico) Sabor Baunilha,"59,80","473,00","359,62","319,13","290,78","258,38",SP (1)
SP,32,447K Shake Pistache,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,249K Shake Frapê de Abacaxi,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,295K Shake Cookies & Cream,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,023K Shake Café Cremoso,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,0940 Shake Doce De Leite,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,3144 Shake Chocolate Sensation,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,0951 Shake Baunilha Cremoso,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,0953 Shake Morango Cremoso,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,326K Shake Banana Caramelizada,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,439K Shake Torta de Limão,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,0930 Shake Coco,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,2122 Shake Doce de Leite Embalagem Econômica,"102,00","786,00","612,82","543,81","495,51","440,30",SP (1)
SP,32,387K Shake Chocolate Sensation Embalagem Econômica,"96,90","786,00","582,38","516,80","470,90","418,43",SP (1)
SP,32,2129 Shake Baunilha Cremoso Embalagem Econômica,"102,00","786,00","612,82","543,81","495,51","440,30",SP (1)
SP,32,1446 Shake Morango Cremoso Embalagem Econômica,"102,00","786,00","612,82","543,81","495,51","440,30",SP (1)
SP,32,1445 CR7 Drive,"26,75","243,00","192,83","174,46","161,60","146,90",SP (1)
SP,49,0948 Shake Sachê Baunilha Cremoso (caixa com 7 sachês),"9,55","87,00","64,49","58,13","53,68","48,60",SP (1)
SP,09,0020 Xtra-Cal,"11,00","109,00","79,35","70,42","64,17","57,02",SP (1)
SP,18,448K Sopa Instantânea (Frango com Legumes),"9,35","87,00","64,17","58,70","54,88","50,50",SP (1)
SP,40,445K Sopa Instantânea (Creme de Cebola),"9,35","87,00","64,17","58,70","54,88","50,50",SP (1)
SP,40,190K Liftoff sabor Amora Intenso,"20,20","196,00","147,09","132,79","122,78","111,34",SP (1)
SP,51,371K Liftoff sabor Abacaxi,"20,20","196,00","147,09","132,79","122,78","111,34",SP (1)
SP,51,317K Liftoff sabor Limão Siciliano,"20,20","196,00","147,09","132,79","122,78","111,34",SP (1)
SP,51,060K Herbal Concentrate Original 51g,"21,45","222,00","161,69","143,49","130,74","116,18",SP (1)
SP,42,057K N-R-G Original 100g,"24,45","252,00","176,94","157,01","143,07","127,13",SP (1)
SP,20,0031 Barras de Proteína Limão Citrus (7 barras por caixa),"10,40","110,00","90,02","84,02","79,82","75,03",SP (1)
SP,21,214K Barras de Proteína Vanilla Almond (7 Barras por Caixa),"10,40","110,00","90,02","84,02","79,82","75,03",SP (1)
SP,21,325K Creatina Premium 150g,"18,45","181,00","137,45","123,80","114,25","103,33",SP (1)
SP,60,318K Shape Control,"35,35","338,00","253,14","224,63","204,68","181,87",SP (1)
